epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,802.897,1.083,1.72194,1.19462,0.64958,0.55517,0.59558,0.43283,1.04062,1.22634,1.0717,0.00333259,0.00333259,0.00333259
2,1583.01,1.13794,1.6209,1.21859,0.59352,0.48695,0.51156,0.35957,1.18212,1.45793,1.16753,0.00662193,0.00662193,0.00662193
3,2354.72,1.26966,1.90919,1.30815,0.51558,0.4101,0.41242,0.27394,1.34099,1.75807,1.29383,0.00986727,0.00986727,0.00986727
4,3137.53,1.33297,2.03886,1.3574,0.53288,0.4293,0.44281,0.30303,1.27781,1.67278,1.26852,0.009802,0.009802,0.009802
5,3930.4,1.28376,1.92962,1.3318,0.55863,0.45903,0.46603,0.32277,1.22048,1.56397,1.2283,0.009736,0.009736,0.009736
6,4704.25,1.24261,1.83937,1.30846,0.59436,0.48743,0.51071,0.358,1.18189,1.46499,1.20474,0.00967,0.00967,0.00967
7,5465.26,1.21535,1.7776,1.29419,0.61066,0.49897,0.52887,0.3748,1.15203,1.41452,1.19159,0.009604,0.009604,0.009604
8,6226.79,1.19512,1.73082,1.28268,0.62367,0.51226,0.54861,0.39384,1.12211,1.35817,1.16581,0.009538,0.009538,0.009538
9,6988.47,1.18111,1.6886,1.26948,0.63104,0.52423,0.56115,0.40522,1.10364,1.3225,1.15157,0.009472,0.009472,0.009472
10,7750.99,1.16889,1.65592,1.26158,0.64023,0.52994,0.57113,0.41517,1.09189,1.28557,1.141,0.009406,0.009406,0.009406
11,8512.69,1.1615,1.63774,1.25776,0.65568,0.53992,0.58689,0.42885,1.06904,1.25401,1.12994,0.00934,0.00934,0.00934
12,9272.54,1.14617,1.61256,1.24988,0.66575,0.54737,0.59725,0.43781,1.06007,1.22683,1.1249,0.009274,0.009274,0.009274
13,10034.1,1.14111,1.59154,1.24649,0.66474,0.55223,0.6007,0.4419,1.04822,1.20943,1.11593,0.009208,0.009208,0.009208
14,10794.9,1.1325,1.57654,1.24042,0.6754,0.55884,0.61017,0.45024,1.03655,1.18426,1.11078,0.009142,0.009142,0.009142
15,11555,1.12792,1.56203,1.23673,0.67914,0.56644,0.61738,0.4572,1.02677,1.16898,1.10235,0.009076,0.009076,0.009076
16,12311.7,1.11677,1.53886,1.23074,0.68447,0.56997,0.62447,0.46314,1.01834,1.1472,1.09832,0.00901,0.00901,0.00901
17,13070.6,1.11486,1.52683,1.22893,0.69003,0.57431,0.6305,0.4689,1.01021,1.13319,1.09409,0.008944,0.008944,0.008944
18,13828.7,1.10738,1.51652,1.22323,0.69318,0.57937,0.63505,0.47338,1.00279,1.12002,1.08922,0.008878,0.008878,0.008878
19,14585.8,1.10227,1.50259,1.21979,0.69389,0.58431,0.63899,0.47658,0.99679,1.10837,1.08479,0.008812,0.008812,0.008812
20,15342.8,1.10103,1.4952,1.21967,0.69484,0.58755,0.64265,0.48035,0.99197,1.09836,1.08184,0.008746,0.008746,0.008746
21,16101.8,1.09438,1.48303,1.21665,0.70227,0.58859,0.64687,0.48428,0.98731,1.09001,1.07824,0.00868,0.00868,0.00868
22,16863.2,1.08584,1.46947,1.21079,0.70313,0.59107,0.6489,0.48682,0.98398,1.08295,1.07657,0.008614,0.008614,0.008614
23,17625.1,1.0897,1.46366,1.20983,0.7067,0.59176,0.65162,0.48933,0.97966,1.07425,1.07367,0.008548,0.008548,0.008548
24,18385.3,1.08417,1.45389,1.20823,0.70727,0.59512,0.6544,0.49189,0.97506,1.06745,1.07048,0.008482,0.008482,0.008482
25,19144.2,1.08024,1.44794,1.20691,0.70949,0.59706,0.65684,0.49424,0.97161,1.06121,1.06809,0.008416,0.008416,0.008416
26,19903.6,1.07824,1.4447,1.20144,0.7099,0.59743,0.65836,0.49606,0.96862,1.05712,1.0661,0.00835,0.00835,0.00835
27,20662.7,1.07072,1.43016,1.2008,0.71102,0.59898,0.65993,0.49741,0.96642,1.0532,1.0649,0.008284,0.008284,0.008284
28,21424.1,1.07447,1.43188,1.20221,0.71405,0.59952,0.6616,0.49898,0.96467,1.04895,1.06392,0.008218,0.008218,0.008218
29,22185.2,1.07238,1.4211,1.19814,0.71559,0.60013,0.66317,0.5003,0.96288,1.04517,1.06271,0.008152,0.008152,0.008152
30,22946.6,1.0673,1.41889,1.19579,0.71623,0.60192,0.66449,0.50152,0.96121,1.04155,1.06158,0.008086,0.008086,0.008086
31,23707.6,1.06552,1.40882,1.19536,0.71714,0.60358,0.66571,0.5028,0.95934,1.03822,1.06034,0.00802,0.00802,0.00802
32,24468.9,1.06549,1.41067,1.19537,0.71699,0.60516,0.6669,0.50395,0.95748,1.035,1.05911,0.007954,0.007954,0.007954
33,25230,1.05752,1.39761,1.19183,0.71826,0.60578,0.668,0.5051,0.95607,1.03154,1.05815,0.007888,0.007888,0.007888
34,25992,1.05954,1.38964,1.19086,0.71945,0.60722,0.66934,0.50636,0.95459,1.02823,1.05717,0.007822,0.007822,0.007822
35,26755.9,1.05757,1.39341,1.19023,0.7204,0.60741,0.67054,0.50744,0.95311,1.02543,1.05616,0.007756,0.007756,0.007756
36,27517.8,1.05637,1.38203,1.18761,0.72105,0.60805,0.67163,0.50844,0.95172,1.02285,1.05541,0.00769,0.00769,0.00769
37,28279.4,1.05267,1.37768,1.18681,0.72047,0.60941,0.67285,0.50947,0.95046,1.0203,1.05459,0.007624,0.007624,0.007624
38,29041.5,1.0483,1.3698,1.18292,0.71912,0.61158,0.67374,0.51051,0.94947,1.01768,1.05393,0.007558,0.007558,0.007558
39,29801.2,1.05016,1.36903,1.18368,0.71934,0.61268,0.67488,0.51168,0.94834,1.01499,1.05306,0.007492,0.007492,0.007492
40,30559.1,1.04966,1.36854,1.1827,0.72107,0.61266,0.67603,0.51258,0.94702,1.01233,1.05204,0.007426,0.007426,0.007426
41,31317,1.04581,1.36363,1.1803,0.72133,0.61411,0.67701,0.51351,0.94572,1.0097,1.05107,0.00736,0.00736,0.00736
42,32073.6,1.0423,1.35549,1.1795,0.72312,0.61398,0.67801,0.5146,0.94448,1.00696,1.05022,0.007294,0.007294,0.007294
43,32831.7,1.04153,1.35158,1.17875,0.72528,0.61447,0.67905,0.51567,0.9433,1.00439,1.04936,0.007228,0.007228,0.007228
44,33638.5,1.04077,1.3483,1.17655,0.72721,0.61469,0.68015,0.51667,0.94231,1.00185,1.04849,0.007162,0.007162,0.007162
45,34431.2,1.03754,1.34619,1.1775,0.72843,0.61534,0.68113,0.51756,0.94091,0.99898,1.04743,0.007096,0.007096,0.007096
46,35202.7,1.04501,1.35139,1.179,0.72785,0.61718,0.68214,0.51855,0.93962,0.99656,1.04645,0.00703,0.00703,0.00703
47,35945.4,1.03578,1.33755,1.17517,0.73012,0.61776,0.68317,0.51945,0.93829,0.99386,1.04549,0.006964,0.006964,0.006964
48,36684.9,1.03785,1.32968,1.17459,0.73138,0.61859,0.68421,0.52049,0.93703,0.99112,1.04448,0.006898,0.006898,0.006898
49,37441,1.03728,1.33551,1.17332,0.73169,0.62001,0.68539,0.52164,0.93579,0.98826,1.04357,0.006832,0.006832,0.006832
50,38198,1.0322,1.32631,1.17377,0.73018,0.6221,0.68658,0.52263,0.93472,0.98549,1.04284,0.006766,0.006766,0.006766
51,38955.5,1.02648,1.32317,1.17008,0.73116,0.6232,0.6877,0.52375,0.93359,0.98279,1.04195,0.0067,0.0067,0.0067
52,39711.2,1.02768,1.31532,1.16615,0.7307,0.62502,0.68892,0.52493,0.9322,0.97988,1.04076,0.006634,0.006634,0.006634
53,40469.5,1.02789,1.30867,1.16906,0.73329,0.62503,0.69,0.52584,0.93105,0.97712,1.03985,0.006568,0.006568,0.006568
54,41225.9,1.02676,1.30986,1.16638,0.73495,0.62569,0.69108,0.52681,0.92981,0.97434,1.03887,0.006502,0.006502,0.006502
55,41984,1.02556,1.311,1.1636,0.73603,0.62685,0.6924,0.5279,0.92834,0.97171,1.03772,0.006436,0.006436,0.006436
56,42742.8,1.022,1.30584,1.16561,0.73762,0.62678,0.69356,0.52896,0.927,0.9688,1.03673,0.00637,0.00637,0.00637
57,43499.9,1.02187,1.30314,1.16556,0.73789,0.62827,0.69465,0.53002,0.9255,0.96539,1.03554,0.006304,0.006304,0.006304
58,44258.1,1.02012,1.29787,1.16288,0.73835,0.62939,0.69585,0.53111,0.92417,0.96246,1.0346,0.006238,0.006238,0.006238
