epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1044.14,1.083,1.72194,1.19462,0.64958,0.55517,0.59558,0.43283,1.04062,1.22634,1.0717,0.00333259,0.00333259,0.00333259
2,2026.92,1.13321,1.6116,1.21712,0.59403,0.49739,0.52161,0.36913,1.15615,1.43128,1.14705,0.00644595,0.00644595,0.00644595
3,2986.47,1.25533,1.88294,1.2996,0.52562,0.41715,0.42232,0.28569,1.30934,1.73514,1.27297,0.00933931,0.00933931,0.00933931
4,3914.96,1.31667,2.01614,1.34673,0.54505,0.43961,0.45455,0.31208,1.27464,1.65429,1.26153,0.00901,0.00901,0.00901
5,4841.79,1.2681,1.89462,1.31999,0.56868,0.46716,0.47966,0.33378,1.20493,1.53148,1.21596,0.00868,0.00868,0.00868
6,5801.33,1.2261,1.80048,1.29497,0.59773,0.49447,0.52129,0.36687,1.16624,1.44244,1.19236,0.00835,0.00835,0.00835
7,6811.83,1.19503,1.73082,1.27727,0.61316,0.50772,0.54137,0.38835,1.1303,1.38544,1.16697,0.00802,0.00802,0.00802
8,7791.19,1.17333,1.68103,1.2646,0.63602,0.52025,0.5614,0.40681,1.09796,1.325,1.14776,0.00769,0.00769,0.00769
9,8768.28,1.15556,1.63428,1.25018,0.64501,0.53235,0.57424,0.4178,1.08616,1.28477,1.13455,0.00736,0.00736,0.00736
10,9593.73,1.13697,1.59188,1.23938,0.65411,0.54649,0.59023,0.43133,1.06878,1.24163,1.1231,0.00703,0.00703,0.00703
11,10393.7,1.12835,1.5642,1.23515,0.67048,0.55327,0.60319,0.44306,1.04886,1.21321,1.1141,0.0067,0.0067,0.0067
12,11189.4,1.11067,1.53481,1.22353,0.67879,0.56399,0.6156,0.45405,1.03482,1.17626,1.10038,0.00637,0.00637,0.00637
13,11985.2,1.09972,1.50749,1.21831,0.67987,0.57294,0.62234,0.46088,1.02077,1.15819,1.09445,0.00604,0.00604,0.00604
14,12781,1.08745,1.48122,1.20931,0.69214,0.5778,0.63171,0.46916,1.01109,1.12904,1.08887,0.00571,0.00571,0.00571
15,13576.6,1.07964,1.46015,1.20551,0.70079,0.58414,0.64152,0.47825,0.9978,1.10906,1.07872,0.00538,0.00538,0.00538
16,14371.1,1.06264,1.42665,1.19371,0.70103,0.59057,0.64757,0.48434,0.98628,1.09158,1.0711,0.00505,0.00505,0.00505
17,15168.9,1.05912,1.40585,1.18926,0.70838,0.59587,0.65446,0.49065,0.97693,1.07094,1.06272,0.00472,0.00472,0.00472
18,15946.1,1.04394,1.38359,1.18099,0.71616,0.59917,0.66124,0.49671,0.96956,1.05641,1.05845,0.00439,0.00439,0.00439
19,16716,1.03649,1.36397,1.17635,0.71926,0.60614,0.66688,0.50182,0.96383,1.04218,1.05467,0.00406,0.00406,0.00406
20,17486.8,1.03016,1.34065,1.17187,0.72335,0.60919,0.67162,0.5066,0.95721,1.02991,1.05033,0.00373,0.00373,0.00373
21,18280.5,1.04934,1.27668,1.16796,0.72356,0.61325,0.67561,0.51107,0.94936,1.01888,1.04609,0.0034,0.0034,0.0034
22,19048.8,1.03794,1.23807,1.15979,0.72698,0.61706,0.67981,0.51528,0.94368,1.00768,1.04245,0.00307,0.00307,0.00307
23,19816.6,1.02463,1.20429,1.14901,0.73041,0.62036,0.68433,0.51979,0.93825,0.99511,1.03831,0.00274,0.00274,0.00274
24,20583.8,1.01027,1.17883,1.14177,0.7322,0.62456,0.68845,0.52367,0.93366,0.98453,1.03509,0.00241,0.00241,0.00241
25,21349.6,1.00032,1.15105,1.13557,0.73379,0.62792,0.69211,0.5272,0.92967,0.9754,1.03255,0.00208,0.00208,0.00208
26,22118.7,0.98589,1.12283,1.12598,0.73463,0.6313,0.69518,0.53022,0.92642,0.96736,1.03015,0.00175,0.00175,0.00175
27,22886.8,0.97379,1.09406,1.11723,0.73909,0.63264,0.69821,0.53323,0.92325,0.95974,1.02746,0.00142,0.00142,0.00142
28,23652.4,0.95976,1.07047,1.10877,0.74028,0.63458,0.70068,0.53577,0.92055,0.95309,1.02539,0.00109,0.00109,0.00109
29,24419.4,0.95188,1.04581,1.1043,0.74297,0.63637,0.70296,0.53808,0.91804,0.94714,1.02343,0.00076,0.00076,0.00076
30,25184.9,0.93939,1.01783,1.09742,0.74427,0.6384,0.70498,0.54003,0.91591,0.94177,1.02169,0.00043,0.00043,0.00043
